,Type_of_course_Aggregate,Type_of_Fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Passing_0.6_mm_Sieve_(%),Target_Mean_Strength_(Npermm2),Cement_O.P.C_(Kgperm3),WaterCement_Ratio,Water_Content_(Kgperm3),,Additive_Type_&_Dosage_(per100_kg_of_cement),Total_Aggregate_(Kgperm3),Fine_Aggregate_(Kgperm3),Coarse_Aggregate_(Kgperm3),Workability_Slump_(mm),Hardened_Concrete_Desnity_(avg.),7_day_str,28_day_str,Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Passing_0.6mm_Sieve(%),Additive_Type_&_Dos._(per100_Kg_of_cement),Admix_type,Admix_dosage
0,Crushed,Natural,40,0,43,365,0.52,225,0.616438356,0,1870,710,1160,160,2407,21.8,26.3,0,0,0,0,,
1,Crushed,Natural,40,0,0,365,0.52,225,,0,1870,710,1160,160,2403,26.3,35.3,0,0,0,0,,
2,Crushed,Natural,20,45.6,38,350,0.53,185,,type SP 801 dos 1 lit,1915,725,1190,120,2475,32.7,44.9,0,0,0,0,,
3,Natural,Natural,20,57.9,38,340,0.49,165,,Sp 432 0.9 lit ,1895,835,1060,190,2412,30.3,41,0,0,0,0,,
4,Natural,Natural,20,19.5,38,325,0.51,165,,sp432 dos 1.0 lit,1910,840,1070,170,2404,27,0,0,0,0,0,,
5,Natural,Natural,20,19.5,38,325,0.51,165,,sp432 dos 1.0 lit,1910,840,1070,170,2405,27,35.4,0,0,0,0,,
6,Crushed,Natural,20,39.4,38,340,0.56,190,,sikamentR2004 dos .8,1895,795,1100,105,2425,31.8,0,0,0,0,0,,
7,Crushed,Natural,20,39.4,38,340,0.56,190,,sikamentR2004 dos .8,1895,795,1100,105,2427,31.8,41.3,0,0,0,0,,
8,Crushed,Natural,20,33.4,38,370,0.5,185,,consplat RP 364 *dos .8,1895,795,1100,125,2449,37.8,46.4,0,0,0,0,,
9,Crushed,Natural,20,26.1,38,360,0.53,190,,0,1900,780,1120,100,2454,28.2,34.1,0,0,0,0,,
10,Crushed,Natural,20,43.5,38,330,0.5,205,,Sp 432 0.9 lit ,1980,850,1130,135,2483,33.2,0,0,0,0,0,,
11,Crushed,Natural,20,43.5,38,330,0.5,165,,Sp 432 0.9 lit ,1980,850,1130,135,2477,33.2,43.1,0,0,0,0,,
12,Crushed,Natural,20,24.9,38,350,0.54,190,,rheobuaile850 1.2 of cement by weight,1900,760,1140,140,2445,31,0,0,0,0,0,,
13,Crushed,Natural,20,24.9,38,350,0.54,190,,rheobuaile850 1.2 of cement by weight,1900,760,1140,140,2449,31,39.3,0,0,0,0,,
14,Crushed,Natural,20,42.1,38,345,0.55,190,,Type RHEOBUILD 850 * Dos. 1.25 lit,1905,760,1145,145,2443,33.9,0,0,0,0,0,,
15,Crushed,Natural,20,47,38,340,0.53,180,,type dos 1 lit,1930,770,1160,120,2449,36.5,0,0,0,0,0,,
16,Crushed,Natural,20,47,38,340,0.53,180,,type dos 1 lit,1930,770,1160,120,2449,36.5,34.8,0,0,0,0,,
17,Crushed,Natural,20,49,38,350,0.54,190,,plastment rx-xr .8 lit,1890,715,1175,140,2434,30.9,0,0,0,0,0,,
18,Natural,Natural,20,39,38,350,0.51,180,,0,1970,690,1280,110,2406,30.4,37.2,0,0,0,0,,
19,Natural,Natural,20,39,38,350,0.51,180,,0,1870,690,1180,110,2402,30.4,0,0,0,0,0,,
20,Crushed,Natural,20,52.5,38,350,0.57,200,,consplat RP 364 *dos .8,1910,710,1200,125,2453,19,37.6,0,0,0,0,,
21,Crushed,Natural,20,45.6,38,350,0.53,185,,0,1915,725,1190,120,2456,32.8,0,0,0,0,0,,
22,Crushed,Natural,20,43,38,350,0.5,180,,0,1910,710,1200,90,2447,33.1,0,0,0,0,0,,
23,Crushed,Natural,20,43,38,350,0.5,180,,type SP 801 dos 1 lit,1910,710,1200,90,2447,33.1,42.6,0,0,0,0,,
24,Crushed,Natural,20,49.5,38,380,0.5,190,,Sp 432 0.9 lit ,1845,610,1235,180,2424,29.1,0,0,0,0,0,,
25,Crushed,Natural,20,49.5,38,380,0.5,290,,Sp 432 0.9 lit ,1845,610,1235,180,2424,29.1,41.5,0,0,0,0,,
26,Crushed,Natural,20,49.5,38,380,0.5,190,,Sp 432 0.9 lit ,1854,610,1244,180,2423,29.1,41.5,0,0,0,0,,
27,Crushed,Natural,20,0,38,350,0.54,190,,0,1885,755,1130,80,2430,25.8,0,0,0,0,0,,
28,Crushed,Natural,20,0,38,350,0.54,190,,0,1885,755,1130,80,2431,25.8,0,0,0,0,0,,
29,Crushed,Natural,20,40,38,400,0.45,180,,R2004 dos 1.65 lit,1840,770,1070,200,2445,36.3,0,0,0,0,0,,
30,Crushed,Natural,20,40,38,400,0.45,180,,R2004 dos 1.65 lit,1840,770,1070,200,2450,36.3,46.6,0,0,0,0,,
31,Crushed,Natural,20,40,38,400,0.45,180,,R2004 dos 1.65 lit,1840,770,1070,200,2445,36.3,46.6,0,0,0,0,,
32,Crushed,Natural,20,76,38,350,0.53,185,,type sikament 2004*dos. 1 lit,1915,595,1320,120,2453,28.5,37.6,0,0,0,0,,
33,Crushed,Natural,20,26.1,38,360,0.53,190,,0,1900,780,1120,100,2453,28.2,0,0,0,0,0,,
34,Crushed,Natural,20,26.3,38,350,0.6,210,,0,1865,745,1120,130,2427,28.3,0,0,0,0,0,,
35,Crushed,Natural,20,26.3,38,350,0.6,210,,0,1865,745,1120,130,2430,28.3,39.3,0,0,0,0,,
36,Crushed,Natural,20,44.5,38,350,0.6,210,,0,1865,710,1155,90,2428,27.8,0,0,0,0,0,,
37,Crushed,Natural,20,44.5,38,350,0.6,210,,0,1865,710,1155,90,2430,27.8,35.8,0,0,0,0,,
38,Crushed,Crushed,20,43.3,38,380,0.55,210,,0,1815,815,1000,120,2403,29.4,34.4,0,0,0,0,,
39,Crushed,Crushed,20,43.3,38,380,0.55,210,,0,1815,815,1000,120,2402,29.4,0,0,0,0,0,,
40,Natural,Natural,40,56.3,38,375,0.48,180,,type SP 801 dos 1 lit,1845,830,1015,220,2407,35.9,43.9,0,0,0,0,,
41,Natural,Natural,40,56.3,38,375,0.48,180,,type SP 801 dos 1 lit,1845,830,1015,220,2407,35.9,43.8,0,0,0,0,,
42,Natural,Natural,40,56.3,38,375,0.48,180,,type SP 801 dos 1 lit,1845,830,1015,220,2406,35.9,0,0,0,0,0,,
43,Crushed,Natural,20,32.4,38,365,0.53,195,,0,1860,835,1025,165,2424,30.2,0,0,0,0,0,,
44,Crushed,Natural,20,32.4,38,365,0.53,195,,0,1860,835,1025,165,2425,31.3,0,0,0,0,0,,
45,Crushed,Natural,40,32.4,38,365,0.53,195,,0,1860,835,1025,165,2430,31.3,41.8,0,0,0,0,,
46,Crushed,Natural,40,32.4,38,365,0.53,195,,0,1860,835,1025,165,2424,30.2,38,0,0,0,0,,
47,Crushed,Natural,20,55,38,400,0.45,180,,Type SP 432 * Dos. 1.0 lit,1870,840,1030,185,2406,33.9,0,0,0,0,0,,
48,Natural,Natural,20,24.3,38,350,0.5,175,,Type kem Flow * Dos. 0.8 lit ,1865,820,1045,158,2394,29.8,37.5,0,0,0,0,,
49,Natural,Natural,20,24.3,38,350,0.5,175,,Type kem Flow * Dos. 0.8 lit ,1865,820,1045,158,2396,29.8,0,0,0,0,0,,
50,Crushed,Crushed,40,21.8,38,340,0.56,190,,Sikament - R2004 * Dos * 1.25 lit,1910,860,1050,140,2445,36.7,50,0,0,0,0,,
51,Crushed,Crushed,40,21.8,38,340,0.56,190,,Sikament - R2004 * Dos * 1.25 lit,1910,860,1050,120,2445,32.5,0,0,0,0,0,,
52,Crushed,Crushed,40,21.8,38,340,0.56,190,,Sikament - R2004 * Dos * 1.25 lit,1910,860,1050,140,2446,36.7,0,0,0,0,0,,
53,Crushed,Crushed,40,21.8,38,340,0.56,190,,Sikament - R2004 * Dos * 1.25 lit,1910,860,1050,120,2447,32.5,43.5,0,0,0,0,,
54,Natural,Natural,20,48.9,38,380,0.5,190,,0,1810,760,1050,165,2387,25,0,0,0,0,0,,
55,Natural,Natural,20,48.9,38,380,0.5,190,,0,1810,760,1050,165,2390,25,30,0,0,0,0,,
56,Crushed,Natural,20,26.9,38,350,0.4,190,,Sp 432 0.9 lit ,1920,865,1055,180,2462,30.5,0,0,0,0,0,,
57,Natural,Natural,20,57.9,38,340,0.49,165,,sp432 dos 1.0 lit,1895,835,1060,190,2404,30.3,0,0,0,0,0,,
58,Crushed,Natural,20,32.4,38,365,0.47,170,,0,1925,865,1060,220,2456,32.8,0,0,0,0,0,,
59,Crushed,Natural,20,32.4,38,365,0.47,170,,X-MIXHPN DOS . 1.5 LIT,1925,865,1060,170,2460,39.2,0,0,0,0,0,,
60,Crushed,Natural,20,32.4,38,365,0.47,170,,x-mix HPN dos 1.5 lit,1925,865,1060,170,2455,39.8,49.1,0,0,0,0,,
61,Crushed,Natural,20,32.4,38,365,0.47,170,,x-mix RPS dos .7 lit,1925,865,1060,220,2453,32.8,39.3,0,0,0,0,,
62,Natural,Natural,20,36.7,38,350,0.47,165,,R2004 * Dos * 0.8 lit,1880,810,1070,200,2395,33.1,39.2,0,0,0,0,,
63,Natural,Natural,20,36.7,38,350,0.47,165,,R2004 * Dos * 0.8 lit,1880,810,1070,200,2396,33.1,0,0,0,0,0,,
64,Natural,Natural,20,31.6,38,350,0.49,170,,consplat RP 364 *dos .8,1875,805,1075,200,2401,35.9,0,0,0,0,0,,
